word,dateCreated,dateModified,guid,id,morph_type,cv_pattern,pron_number,pron
hoya wakërima,2013-07-28T19:07:36Z,2018-02-04T12:01:08Z,00904731-6ba8-429b-90c5-e48d0b30e42d,hoya wakërima_00904731-6ba8-429b-90c5-e48d0b30e42d,discontiguous phrase,hoja wakəɾima,1,hoja wakəɾima
hukë,2013-06-11T16:18:21Z,2018-02-04T12:01:08Z,d3eb56e9-a8b4-4872-8a87-067a0cca047b,hukë_d3eb56e9-a8b4-4872-8a87-067a0cca047b,root,hukə,1,hukə
hukëaɨ,2013-07-30T10:21:16Z,2018-02-04T12:01:08Z,4a5df75a-6819-47f8-9d6b-bf27f77f52f7,hukëaɨ_4a5df75a-6819-47f8-9d6b-bf27f77f52f7,stem,hukəaɨ,1,hukəaɨ
hukëɨ,2013-07-30T10:21:16Z,2018-02-04T12:01:08Z,5304e87c-b5b7-49d7-b986-f157a0cdece3,hukëɨ_5304e87c-b5b7-49d7-b986-f157a0cdece3,stem,hukəɨ,1,hukəɨ
imikɨ pakëɨ,2013-07-30T10:21:19Z,2018-02-04T12:01:08Z,39894a98-c07b-46c0-8429-3de622d0cc55,imikɨ pakëɨ_39894a98-c07b-46c0-8429-3de622d0cc55,discontiguous phrase,imikɨ pakəɨ,1,imikɨ pakəɨ
ixĩama wakërima,2013-07-28T19:07:56Z,2018-02-04T12:01:08Z,764764a5-d3ae-4168-a4df-c3993c521988,ixĩama wakërima_764764a5-d3ae-4168-a4df-c3993c521988,discontiguous phrase,iʃĩama wakəɾima,1,iʃĩama wakəɾima
kë,2013-06-11T16:18:22Z,2018-02-04T12:01:08Z,4e91bad4-d234-470b-bbb5-80a00943a9f9,kë_4e91bad4-d234-470b-bbb5-80a00943a9f9,root,kə,1,kə
këa,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,8788226d-ebda-4698-904d-7dd1918639f8,këa_8788226d-ebda-4698-904d-7dd1918639f8,stem,kəa,1,kəa
këamaɨ,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,a20ae0e4-b9b2-4c1c-809f-d8a5d4dc7a21,këamaɨ_a20ae0e4-b9b2-4c1c-809f-d8a5d4dc7a21,stem,kəamaɨ,1,kəamaɨ
këpraɨ,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,f8edc3ae-2189-48a7-ad0f-df7db6555f99,këpraɨ1_f8edc3ae-2189-48a7-ad0f-df7db6555f99,stem,kəpɾaɨ,1,kəpɾaɨ
këpraɨ,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,ef7a41ac-ee1a-4b21-898d-c696541d5eb0,këpraɨ2_ef7a41ac-ee1a-4b21-898d-c696541d5eb0,stem,kəpɾaɨ,1,kəpɾaɨ
këpraɨ,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,4b9872d4-a85a-4adc-9a5a-708be3a58529,këpraɨ3_4b9872d4-a85a-4adc-9a5a-708be3a58529,stem,kəpɾaɨ,1,kəpɾaɨ
këpraɨ,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,8678b4ca-2900-49d2-ac9e-df2d65373514,këpraɨ4_8678b4ca-2900-49d2-ac9e-df2d65373514,stem,kəpɾaɨ,1,kəpɾaɨ
këpruu,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,cbc2234a-5434-4dcc-84e6-57af348b0b9b,këpruu1_cbc2234a-5434-4dcc-84e6-57af348b0b9b,stem,kəpɾuu,1,kəpɾuu
këpruu,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,4bc87987-84c8-4cfe-bca6-0cd82bd0d13f,këpruu2_4bc87987-84c8-4cfe-bca6-0cd82bd0d13f,stem,kəpɾuu,1,kəpɾuu
këpruu,2013-07-30T10:21:24Z,2018-02-04T12:01:08Z,52c75ab0-0111-4514-bf0c-d482caa01bfa,këpruu3_52c75ab0-0111-4514-bf0c-d482caa01bfa,stem,kəpɾuu,1,kəpɾuu
krëkëhë,2013-06-11T16:18:22Z,2018-02-04T12:01:08Z,fa5aa5c7-c689-4264-b35b-378b12edd160,krëkëhë_fa5aa5c7-c689-4264-b35b-378b12edd160,root,kɾəkəhə,1,kɾəkəhə
krẽkẽkrẽkẽma koxi,2013-07-28T19:08:52Z,2018-02-04T12:01:08Z,8b49dfeb-4720-41ac-a5d5-1a52a2076760,krẽkẽkrẽkẽma koxi2_8b49dfeb-4720-41ac-a5d5-1a52a2076760,discontiguous phrase,kɾẽkẽkɾẽkẽma koʃi,1,kɾẽkẽkɾẽkẽma koʃi
mahuku pesi ëkëpramuu,2013-07-30T10:21:27Z,2018-02-04T12:01:08Z,e3fd4502-e41d-4955-bc20-4bca6a687f3e,mahuku pesi ëkëpramuu_e3fd4502-e41d-4955-bc20-4bca6a687f3e,discontiguous phrase,mahuku pesi əkəpɾamuu,1,mahuku pesi əkəpɾamuu
